File name;Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;Area size;Class_1;Class_2
20240801134641_Y9_X2;42,270;314,820;0,381;885,797;0,9810;51,534;-0,145;2,420;163,447;151,374;407,946;90,000;1,616;6194,342;138,090;37,570;42,395;7,068;87,949;91,440;5,547;61,073;1,916;51,134;5698488,305;6;9
20240801134641_Y10_X1;35,034;272,746;0,336;720,060;0,6140;42,731;-0,003;2,620;156,390;116,356;364,593;90,000;1,267;5302,426;110,599;50,032;30,598;5,399;84,687;75,657;3,918;47,916;2,014;44,760;5698488,305;6;9
20240801153158_Y1_X1;59,411;263,259;0,622;602,284;0,3947;69,321;-0,840;2,059;116,827;146,432;516,345;90,000;1,169;1018,906;80,668;15,463;195,206;5,904;72,602;47,671;3,201;62,758;0,845;101,149;5698488,305;6;9
20240801153158_Y1_X6;39,512;322,993;0,244;403,237;0,3158;56,033;1,358;5,411;195,180;127,813;337,268;180,000;0,952;4297,239;107,438;158,093;31,484;10,196;89,744;171,511;4,115;52,316;7,996;38,823;5698488,305;6;9
20240801153158_Y2_X1;41,060;245,104;0,289;530,334;0,3074;51,856;-1,214;3,139;94,794;150,310;304,457;90,000;0,985;829,653;59,718;12,256;146,454;6,032;75,607;35,711;7,095;38,999;0,692;66,316;5698488,305;6;9
20240801153158_Y2_X4;43,145;261,890;0,253;511,687;0,3341;52,565;0,313;2,351;139,888;122,002;354,687;180,000;0,925;4812,936;135,397;50,257;24,189;15,070;92,899;111,822;4,139;74,323;2,062;50,230;5698488,305;6;9
20240801153158_Y2_X5;56,027;293,705;0,240;675,394;0,5928;64,534;-0,583;2,111;108,258;185,447;340,211;0,000;1,245;6586,040;114,819;11,189;101,463;2,960;67,872;61,889;5,992;65,460;0,878;75,712;5698488,305;6;9
20240801153158_Y2_X6;81,947;359,048;0,432;491,732;0,5511;94,183;-0,691;1,934;142,880;216,168;471,743;90,000;1,373;4895,427;141,975;11,212;204,613;1,759;69,501;70,811;6,357;89,951;0,884;124,076;5698488,305;6;9
20240801153158_Y3_X1;30,325;230,568;0,450;386,180;0,1340;38,525;-0,648;3,978;95,073;135,494;527,140;180,000;0,580;647,611;102,217;19,522;71,604;8,035;93,136;63,004;4,942;44,386;1,136;33,082;5698488,305;6;9
20240801153158_Y3_X2;53,911;259,260;0,458;662,316;0,3851;58,103;-0,005;1,536;126,256;133,003;505,003;180,000;0,985;4067,533;131,164;37,516;19,536;34,814;95,160;106,544;3,496;69,223;1,272;60,741;5698488,305;6;9
20240801153158_Y3_X3;43,339;265,326;0,230;573,950;0,3075;52,061;-0,034;2,133;125,932;139,394;322,010;180,000;0,873;3264,614;141,201;23,549;33,663;13,589;90,569;88,531;5,365;70,931;0,773;51,101;5698488,305;6;9
20240801153158_Y3_X4;30,849;203,745;0,269;789,528;0,5933;37,425;-0,368;2,498;91,144;112,601;377,321;180,000;1,244;5715,933;98,434;18,789;38,738;5,714;86,374;58,810;4,475;41,854;1,179;37,316;5698488,305;6;9
20240801153158_Y3_X6;69,007;374,634;0,378;388,872;0,3235;90,416;-1,258;3,258;123,878;250,757;407,749;90,000;1,124;4274,550;122,137;15,270;280,410;3,626;80,294;65,384;28,639;52,649;1,067;52,384;5698488,305;6;9
20240801153158_Y4_X6;62,659;381,443;0,329;367,525;0,3246;85,209;-1,431;3,901;119,106;262,337;352,419;90,000;1,148;3310,169;117,817;11,760;270,888;3,085;82,229;61,942;25,737;49,769;0,923;47,225;5698488,305;6;9
20240801153158_Y5_X6;49,884;354,846;0,316;667,939;0,6981;75,481;-2,041;6,405;88,914;265,931;329,117;90,000;1,454;7064,977;95,727;7,416;237,286;2,515;84,169;49,367;20,193;40,574;0,679;37,381;5698488,305;6;9
20240801153158_Y5_X7;48,797;442,069;0,307;460,607;0,2843;67,648;1,520;7,482;299,240;142,829;423,510;90,000;0,913;2608,561;143,230;115,090;36,075;12,544;92,025;238,924;5,115;71,292;6,595;50,944;5698488,305;6;9
20240801153158_Y6_X7;74,903;431,837;0,320;492,707;0,4018;103,244;1,313;3,680;264,228;167,609;341,798;90,000;1,152;3264,790;141,273;322,085;39,028;17,256;90,033;274,099;5,708;208,116;2,434;75,840;5698488,305;6;9
20240801153158_Y7_X7;102,850;417,192;0,454;509,028;0,5036;116,940;0,557;1,746;217,241;199,951;506,819;90,000;1,235;3889,888;148,523;276,357;47,698;31,003;88,769;235,518;7,573;171,495;0,656;96,665;5698488,305;6;9
20240801153158_Y8_X7;111,183;358,568;0,515;472,384;0,4695;115,865;-0,026;1,281;167,202;191,366;594,342;90,000;1,192;4582,702;164,703;3,995;197,745;0,278;48,298;193,769;5,571;134,165;0,742;123,552;5698488,305;6;9
20240801153158_Y9_X7;105,394;418,594;0,506;494,267;0,4400;110,176;-0,198;1,353;154,402;264,192;584,686;90,000;1,175;4167,436;138,366;6,100;221,820;0,472;52,451;70,242;5,948;118,897;0,573;122,096;5698488,305;6;9
20240801153158_Y10_X7;99,834;396,219;0,479;583,813;0,5383;104,199;-0,069;1,320;159,784;236,436;558,038;90,000;1,288;4510,061;143,252;7,979;184,664;0,982;48,933;165,181;5,244;119,240;0,697;111,834;5698488,305;6;9
20240801153158_Y11_X7;88,160;385,922;0,402;652,109;0,6130;98,881;0,440;1,643;183,369;202,553;456,213;90,000;1,358;4112,383;180,331;152,591;30,711;33,460;95,719;196,171;4,521;140,856;1,227;91,608;5698488,305;6;9
20240801153158_Y12_X7;70,665;390,045;0,330;798,282;0,7672;89,336;0,926;2,571;217,863;172,181;362,467;90,000;1,505;4167,084;153,311;212,516;25,320;21,405;95,398;207,738;4,114;156,263;1,589;74,250;5698488,305;6;9
20240802110024_Y1_X2;45,698;291,359;0,469;758,062;0,2497;62,148;1,246;3,481;179,061;112,299;492,670;90,000;0,825;661,506;90,363;186,818;23,496;17,589;92,091;159,980;3,190;123,715;1,197;47,167;5698488,305;6;9
20240802110024_Y1_X3;46,623;279,110;0,272;1046,661;0,8643;55,737;0,599;2,172;157,620;121,490;376,836;180,000;1,552;2371,643;114,793;84,734;16,924;24,601;96,168;122,220;2,900;87,068;1,345;51,096;5698488,305;6;9
20240802110024_Y1_X5;26,644;245,209;0,220;1105,332;1,087;33,157;0,515;3,154;134,036;111,173;308,061;180,000;1,778;3619,552;89,260;44,128;16,921;10,118;94,534;81,805;2,620;41,843;2,208;29,680;5698488,305;6;9
20240802110024_Y1_X6;64,765;245,573;0,267;633,188;0,2869;69,540;-0,334;1,517;97,177;148,396;377,852;0,000;0,939;1082,576;69,852;6,035;158,267;2,718;52,036;48,878;5,209;69,230;0,549;78,685;5698488,305;6;9
20240802110024_Y1_X7;106,094;332,081;0,360;616,863;0,5053;110,391;0,303;1,259;168,207;163,874;503,159;0,000;1,322;1590,007;121,804;264,186;24,366;40,596;92,607;212,534;4,109;138,219;0,547;102,804;5698488,305;6;9
20240802110024_Y2_X2;66,457;336,494;0,479;1035,340;1,363;73,766;0,406;1,688;174,204;162,290;532,457;90,000;1,971;6412,617;121,754;117,076;25,412;36,914;94,330;153,183;3,691;106,222;1,113;68,278;5698488,305;6;9
20240802110024_Y2_X3;40,145;271,979;0,230;530,488;0,2075;49,680;-0,853;3,607;99,761;172,218;317,967;180,000;0,809;339,459;101,934;18,969;68,771;6,687;79,954;62,131;6,885;50,493;1,170;45,022;5698488,305;6;9
20240802110024_Y2_X4;59,021;319,466;0,271;1146,389;1,071;70,491;0,766;2,293;173,852;145,613;375,302;180,000;1,780;2486,848;114,671;145,775;17,862;27,442;96,387;170,618;2,853;111,650;2,377;60,401;5698488,305;6;9
20240802110024_Y2_X5;35,090;281,867;0,231;1011,075;0,7181;41,726;-0,230;2,139;131,262;150,605;319,686;180,000;1,405;2200,154;113,327;18,392;31,124;4,615;85,014;61,456;3,909;50,017;1,043;45,659;5698488,305;6;9
20240802110024_Y2_X7;71,667;321,016;0,444;491,294;0,3144;84,778;-0,901;2,372;112,560;208,456;496,448;90,000;1,051;1935,270;123,364;5,053;193,980;1,077;71,441;60,011;8,664;74,273;0,634;108,697;5698488,305;6;9
20240802110024_Y3_X1;71,068;341,827;0,451;692,062;0,6379;81,060;0,537;1,771;187,819;154,008;506,027;90,000;1,332;3896,220;121,963;167,680;29,268;31,465;93,489;169,626;4,107;119,695;1,095;71,293;5698488,305;6;9
20240802110024_Y3_X2;30,100;395,343;0,204;962,387;1,212;47,697;-2,122;7,768;164,441;230,901;281,721;180,000;1,806;6809,766;64,596;24,461;148,510;9,061;86,642;49,839;11,675;29,566;1,230;22,917;5698488,305;6;9
20240802110024_Y3_X5;38,590;219,712;0,252;722,445;0,2575;45,420;-0,536;2,148;86,766;132,945;354,094;180,000;0,814;1105,617;98,513;8,788;61,770;1,607;75,959;50,588;5,489;47,045;0,605;49,568;5698488,305;6;9
20240802110024_Y3_X7;59,355;314,665;0,454;433,783;0,2543;74,159;-0,984;2,790;112,910;201,755;493,662;90,000;0,956;2249,930;125,904;6,297;157,441;0,810;75,363;61,914;10,155;65,132;0,642;87,751;5698488,305;6;9
20240802110024_Y4_X1;72,514;346,294;0,485;1127,366;1,552;80,022;0,324;1,606;175,954;170,340;551,920;90,000;2,066;7637,133;140,267;114,607;30,344;37,359;94,127;158,942;4,184;110,763;1,092;75,686;5698488,305;6;9
20240802110024_Y4_X2;24,728;216,045;0,336;1060,092;1,336;29,813;-0,051;2,385;112,234;103,811;466,661;180,000;1,899;7525,094;88,469;17,802;21,092;6,582;92,649;53,497;2,936;37,342;1,024;29,358;5698488,305;6;9
20240802110024_Y4_X7;56,315;309,564;0,472;406,138;0,2598;68,664;-0,722;2,472;108,107;201,456;517,289;90,000;0,868;3265,318;148,243;5,535;95,159;0,329;75,559;71,220;8,638;69,063;0,612;77,298;5698488,305;6;9
20240802110024_Y5_X1;42,304;356,919;0,370;1123,690;1,659;53,893;0,586;3,186;211,798;145,121;397,193;90,000;2,137;7044,926;127,722;78,071;28,756;13,847;91,073;128,184;4,368;79,428;2,758;48,226;5698488,305;6;9
20240802110024_Y5_X2;34,406;230,402;0,586;515,640;0,3562;42,297;-0,180;2,458;114,248;116,155;390,875;90,000;1,005;340,163;112,665;24,897;37,925;8,789;88,551;73,488;5,201;51,454;1,274;40,208;5698488,305;6;9
20240802110024_Y5_X3;31,766;237,595;0,423;585,052;0,3739;38,234;-0,043;2,317;108,542;129,053;440,818;90,000;0,987;2886,988;103,645;21,402;31,830;11,746;92,399;68,316;3,790;49,513;0,989;36,846;5698488,305;6;9
